,att_id,att_name,att_cat,att_price,score
5,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,5.0
616,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,4.8828084518446255
211,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,3.659991641397328
1381,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,3.3734141619450906
575,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,3.3101135826388246
1405,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.871108722395275
696,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,2.8406812395321497
1105,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,2.7457818297061243
1185,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,2.7226158255256485
1042,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,2.208352452431075
75,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,2.077932879990796
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,2.0068844131549795
581,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.929331010838731
589,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.8509014463205764
1431,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.6986643495052083
911,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.6889751061508738
470,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6715650095784371
1046,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.5765463982710468
957,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.500805129858453
590,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26,1.408982725697185
1460,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,1.3933623214185142
1051,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,1.3714347809651781
578,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.3621345603087829
1050,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.3504337136717317
400,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.310153320271452
277,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.2956228475763287
1551,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2127719727712654
1296,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.1977694956114033
1300,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.118552804673834
599,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,1.116468553202825
540,1202,call_of_the_wild_atv_tour,outdoor_activities,156.45,1.0908102777696809
1182,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.0791608902660035
54,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56,1.069581036712431
194,406,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,day_trips_&_excursions,210.0,1.0392688932861778
145,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,0.9966619834076669
