,att_id,att_name,att_cat,att_price,score
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,5.0
621,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,4.882804986543874
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,3.6599828144908306
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,3.4502493709792126
1387,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,3.3733754204670157
579,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,3.310096083166127
1411,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.8710608601916863
702,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,2.840634075599533
1109,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,2.745700562214752
1190,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,2.7225798880991903
1048,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,2.20825212922844
77,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,2.0778645358965653
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,2.0067875053022406
585,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9292881696013955
594,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.850815687789243
1438,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.6986193515536407
916,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.6889310996308367
473,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6714758392018896
1051,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.5764690580596934
962,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.500738689909315
1467,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,1.3933215822273037
1056,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,1.371341776852916
581,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.362044808153116
1055,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.3503574527751443
401,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.3100911840942404
278,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.2955607892405054
1559,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2127062275667748
1301,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.1976974005193213
604,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,1.1163917943837625
543,1202,call_of_the_wild_atv_tour,outdoor_activities,156.45,1.0907252222530657
1187,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.0790776318545456
55,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56,1.0694778857127785
196,406,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,day_trips_&_excursions,210.0,1.039180937431486
146,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,0.9965728141339456
441,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56,0.9900362238502611
1111,2421,interactive_pirate_cruise_from_granville_island,family_friendly,34.5,0.9517138468814015
611,1343,5.5-hour_jasper_wildlife_and_waterfalls_tour_with_maligne_lake_cruise_from_jasper,tours_&_sightseeing,144.59,0.9149176727853056
973,2124,three_sisters_sea_kayaking_day_tour,water_sports,136.85,0.9127251716741692
877,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,0.904938645973387
1334,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,0.896255268649432
1413,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,0.8958026158518407
202,413,niagara_on_the_lake_wine_tour_with_cheese_pairing,day_trips_&_excursions,83.62,0.8873251605868313
615,1348,toronto's_original_brunch_food_tour,tours_&_sightseeing,99.0,0.8822727120559131
429,966,niagara_falls_helicopter_tour,outdoor_activities,145.0,0.8690058729075133
1330,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0,0.8605376022046869
1138,2462,skagway_shore_excursion:_full-day_tour_of_the_yukon,shore_excursions,157.45,0.8366909301965628
1064,2258,niagara_falls_helicopter_tour,family_friendly,145.0,0.8349315646883786
47,72,half-day_whale_watching_adventure_from_vancouver,"cruises,_sailing_&_water_tours",181.13,0.8337872517363865
869,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,0.8296245054819418
1071,2266,ultimate_day_tour_to_victoria,family_friendly,363.56,0.8086970630676904
83,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,0.8071802013121471
1313,3298,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,recommended_experiences,57.5,0.7820447682376969
1329,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,0.7705685534199113
850,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0,0.7697411078632354
446,986,jasper_to_banff_one-way_tour,outdoor_activities,257.25,0.7503722230294382
467,1042,3_hour_whale_watching_tour,outdoor_activities,129.0,0.7225041739654715
851,1912,victoria_guided_food_and_history_tour,walking_&_biking_tours,63.0,0.7030299275916309
1549,3570,squamish_cheakamus_white-water_rafting_from_whistler,recommended_experiences,120.74,0.6895859725111323
909,2016,downtown_toronto_bike_tour,walking_&_biking_tours,84.75,0.6860349389720859
1384,3374,niagara_falls_open-top_jet-boat_ride,recommended_experiences,79.04,0.6829048819281015
88,150,victoria_whale_watching_tour_on_a_covered_vessel,"cruises,_sailing_&_water_tours",122.0,0.6762076139912254
1331,3317,niagara_on_the_lake_wine_tour_with_cheese_pairing,recommended_experiences,83.62,0.6670576504713673
1410,3403,whistler_wilderness_snowmobile_run,recommended_experiences,208.96,0.6300263307093795
606,1338,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0,0.6247511565455215
960,2086,whale-watching_tour_from_vancouver,water_sports,138.5,0.6075127248431124
1308,3293,small-group_quebec_city_food_tour,recommended_experiences,53.0,0.6075040621310533
296,606,3-hour_old_chinatown_food_tour_in_toronto,"food,_wine_&_nightlife",100.0,0.5987510700005515
589,1315,toronto_city_hop-on_hop-off_tour,tours_&_sightseeing,43.0,0.5840943352317869
31,41,vancouver_to_victoria_seaplane_flight,"air,_helicopter_&_balloon_tours",218.0,0.5811341404031771
1319,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41,0.5743377731277461
207,419,luxury_niagara_falls_day_trip_from_toronto_with_cruise_and_lunch,day_trips_&_excursions,169.0,0.5689497227820586
447,988,3_hour_banff_horseback_riding_adventures,outdoor_activities,170.1,0.5672096135434513
1183,2602,niagara_on_the_lake_wine_tour_with_cheese_pairing,luxury_&_special_occasions,83.62,0.5615823992859167
13,14,niagara_falls_helicopter_tour,"air,_helicopter_&_balloon_tours",145.0,0.5612226358104044
1309,3294,vancouver_city_hop-on_hop-off_tour,recommended_experiences,31.2,0.554878190742391
1511,3517,maligne_lake_cruise,recommended_experiences,82.95,0.5471029370042881
465,1014,talking_trees_-_indigenous_walking_tour,outdoor_activities,40.0,0.544970813952503
1340,3327,whale-watching_cruise_with_expert_naturalists,recommended_experiences,94.5,0.5418423224588907
1529,3540,little_italy_walking_food_tour_in_vancouver,recommended_experiences,73.0,0.5409857054802811
137,233,quebec_city_historic_discoverers_cruise,cultural_&_theme_tours,44.83,0.5343064413726845
265,567,small-group_quebec_city_food_tour,"food,_wine_&_nightlife",53.0,0.5286851762065639
51,78,victoria_whale_and_wildlife_cruise,"cruises,_sailing_&_water_tours",151.2,0.5260718029703902
46,70,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",149.89,0.5216787642562073
131,222,niagara_on_the_lake_wine_tour_with_cheese_pairing,cultural_&_theme_tours,83.62,0.5147299645595446
961,2087,niagara_falls_open-top_jet-boat_ride,water_sports,79.04,0.5118398020175808
602,1333,niagara-on-the-lake_wine-tasting_tour_with_gourmet_lunch_or_dinner,tours_&_sightseeing,157.07,0.4828583857139775
766,1679,call_of_the_wild_atv_tour,tours_&_sightseeing,156.45,0.4810316493547799
483,1097,whistler_sasquatch_zipline,outdoor_activities,135.45,0.4777183707322455
1017,2188,english_bay_jet_ski_tour_from_vancouver,water_sports,155.68,0.4717502839736888
629,1367,stanley_park_horse-drawn_tours,tours_&_sightseeing,42.0,0.4550220651375524
577,1301,niagara_falls_day_tour_from_toronto,tours_&_sightseeing,94.92,0.44746531004638457
60,88,quebec_city_historic_discoverers_cruise,"cruises,_sailing_&_water_tours",44.83,0.44545670891895944
266,568,victoria_guided_food_and_history_tour,"food,_wine_&_nightlife",63.0,0.4377548794933088
1304,3288,vancouver_city_sightseeing_tour,recommended_experiences,80.0,0.4375399816122297
590,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42,0.43647885157000926
126,216,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,cultural_&_theme_tours,57.5,0.4352401098380723
1502,3507,niagara_falls_canada_tour_from_niagara_usa,recommended_experiences,156.7,0.4315086988036519
1326,3312,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,recommended_experiences,169.0,0.42988524916027354
1318,3303,victoria_guided_food_and_history_tour,recommended_experiences,63.0,0.42082616583951676
204,415,niagara-on-the-lake_wine-tasting_tour_with_gourmet_lunch_or_dinner,day_trips_&_excursions,157.07,0.41739560140160464
1341,3328,northern_lights_tour_from_yellowknife,recommended_experiences,100.0,0.4041024870994595
1316,3301,quebec_city_sightseeing_tour,recommended_experiences,42.0,0.40276678561447615
1300,3284,walking_tour_of_old_montreal,recommended_experiences,29.5,0.40038960174444244
463,1012,summer_tour:_banff_and_its_wildlife,outdoor_activities,74.55,0.3949904881761252
959,2085,victoria_whale_and_wildlife_cruise,water_sports,151.2,0.390717840285558
286,594,fine_dining_dinner_tour_in_whistler,"food,_wine_&_nightlife",131.24,0.3887179279626981
802,1739,full-day_niagara_ice_wine_festival_tour_with_lunch_and_winery_visits,tours_&_sightseeing,395.0,0.38220424689945887
195,405,luxury_niagara_falls_day_trip_from_toronto_with_cruise_and_lunch,day_trips_&_excursions,169.0,0.3792468700615189
48,75,whale-watching_cruise_with_expert_naturalists,"cruises,_sailing_&_water_tours",94.5,0.377852564807606
1186,2605,niagara_falls_one_day_sightseeing_tour_from_toronto,luxury_&_special_occasions,99.0,0.3751547040363505
1518,3527,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,recommended_experiences,157.49,0.37482124180708976
856,1917,gastronomic_gastown_walking_tour,walking_&_biking_tours,146.35,0.3744269579458723
