,att_id,att_name,att_cat,att_price
0,2605,niagara_falls_one_day_sightseeing_tour_from_toronto,luxury_&_special_occasions,99.0
1,162,ottawa_river_historic_sightseeing_cruise,"cruises,_sailing_&_water_tours",28.0
2,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42
3,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41
4,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42
5,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0
6,221,small_group_excursion_of_quebec_city_montmorency_falls,cultural_&_theme_tours,35.0
7,1338,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0
8,335,ottawa_river_historic_sightseeing_cruise,cultural_&_theme_tours,28.0
9,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0
10,2257,niagara_falls_one_day_sightseeing_tour_from_toronto,family_friendly,99.0
