,att_id,att_name,att_cat,att_price
0,3289,quebec_city_walking_tour,recommended_experiences,30.99
1,1097,whistler_sasquatch_zipline,outdoor_activities,135.45
2,769,whistler_blackcomb_salmon_bake_dinner_and_atv_tour,"food,_wine_&_nightlife",183.75
3,1304,quebec_city_walking_tour,tours_&_sightseeing,30.99
4,3593,whistler_blackcomb_salmon_bake_dinner_and_atv_tour,recommended_experiences,183.75
5,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99
6,3470,whistler_sasquatch_zipline,recommended_experiences,135.45
7,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89
8,70,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",149.89
9,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99
10,1203,whistler_blackcomb_salmon_bake_dinner_and_atv_tour,outdoor_activities,183.75
11,2240,quebec_city_walking_tour,family_friendly,30.99
12,3290,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,recommended_experiences,149.89
