,att_id,att_name,att_cat,att_price,score
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,5.0
623,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,4.882802284706958
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,3.6599857076252813
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,3.450272456735522
1392,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,3.3734073039512826
580,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,3.310104146229009
1416,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.871096399847509
704,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,2.840666769976539
1193,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,2.722603137811333
1050,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,2.208330347812696
78,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,2.07791550116859
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,2.006862095183063
587,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9293193227828538
596,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.8508828690591788
1443,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.6986536182807923
918,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.68896361602136
474,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6715457023128792
1054,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.5765296960568598
964,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.500789838571416
597,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26,1.4089630909977713
1472,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,1.3933508060226043
1059,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,1.3714151150747445
583,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.3621149632875318
1058,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.3504169440576683
402,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.3101393885632855
279,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.295609290923051
1564,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2127572456661022
1304,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.197754630465563
1308,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.1185357619789007
607,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,1.116453010620756
