,att_id,att_name,att_cat,att_price
0,3311,st._lawrence_market_and_old_toronto_food_tour,recommended_experiences,89.0
1,2249,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,family_friendly,136.25
2,570,st._lawrence_market_and_old_toronto_food_tour,"food,_wine_&_nightlife",89.0
3,1304,quebec_city_walking_tour,tours_&_sightseeing,30.99
4,3318,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,recommended_experiences,136.25
5,74,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",136.26
6,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26
7,3289,quebec_city_walking_tour,recommended_experiences,30.99
8,2240,quebec_city_walking_tour,family_friendly,30.99
9,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99
10,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99
